2.0,22:51:11,7.0576916,79.9579816,23:07:38,7.0576916,79.9579816,1 m
4,01:36:1,7.057691,79.957981,22:40:08,7.0576866,79.9579266,6 m
4,01:36:1,7.057691,79.957981,22:44:13,7.0576866,79.9579266,6 m
4,01:36:1,7.057691,79.957981,22:46:21,7.0576866,79.9579266,6 m
